index,en,fr,de,eo,ru,pl,it,ua,ko
0,Results,Résultats,Ergebnisse,Rezultoj,Результаты,Wyniki,Risultati,Результати,결과
1,Centrist,Centriste,Zentrist,Centristo,Центрист,Centrysta,Centrista,Центрист,중도주의자
2,Anti-$,Anti-$,Anti-$,Mal$$,Анти-$$,Anty-$,Anti-$,Анти-$$,반(안티)-$
3,Moderate $,$ modéré(e),Moderate/r $,Modera,Умеренный $$,Umiarkowany $,$ Moderato/a,Помірний $$,온건적 $
4,$,$,$,$,$,$,$,$,$
5,Extreme $,$ extrême,Extreme/r $,Ekstrema $,Крайний $$,Skrajny $,$ Estremo/a,Радикальний $$,극단적 $
6,Fanatic $,$ fanatique,Fanatische/r $,Fanatika $,Фанатичный $$,Fanatyczny $,$ Fanatico/a,Фанатичний $$,광신적 $
7,Strongly Agree,Tout à fait d’accord,Starke Zustimmung,Forte Konsenta,Полностью согласен(-на),Zdecydowanie się zgadzam,Fortemente d'accordo,Повністю згоден(-на),적극 동의
8,Agree,D’accord,Zustimmung,Konsenta,Согласен(-на),Zgadzam się,D'accordo,Згоден(-на),동의
9,Neutral,Neutre / incertain(e),Neutral/Unsicher,Neŭtrala,Безразличен(-на),Neutralny/Niepewny,Neutrale,Непевний(-на)/Нейтральний(-на),중립
10,Disagree,Pas d’accord,Ablehnung,Malkonsenta,Не согласен(-на),Nie zgadzam się,In disaccordo,Не згоден(-на),비동의
11,Strongly Disagree,Pas du tout d’accord,Starke Ablehnung,Forte Malkonsenta,Полностью несогласен(-на),Zdecydowanie się nie zgadzam,Fortemente in disaccordo,Повністю не згоден(-на),적극 비동의
12,Previous,Précédent,Vorherige Aussage,Antaŭa Demando,Предыдущий вопрос,Poprzednie,Precedente,Попереднє питання,뒤로가기
13,Share your results,Partagez vos résultats,Teile dein Ergebnis,Dividu viajn rezultojn,Поделитесь своими результатами,Podziel się swoimi wynikami,Condividi i tuoi risultati,Поділитися своїми результатами,결과 공유하기
14,Centrist,Centriste,Zentrist,Centristo,Центрист,Centrysta,Centrista,Центрист,중도주의자
