Category,Subcategory,Strength,Multiplier,en,de,ru,eo,pl,it,ua,ko
0,0,4,1,Most or all of the economy should be nationalized,Die Wirtschaft sollte zum großen Teil oder komplett verstaatlicht werden,Вся или большая часть экономики должна быть национализирована,Tuta aŭ preskaŭ tuta ekonomio devas esti naciigita,Większość lub całość gospodarki powinna być znacjonalizowana,L'interezza o buona parte dell'economia dovrebbe essere nazionalizzata,Уся чи більшість економіки має бути націоналізована,경제의 대부분 또는 전부를 국유화해야 한다
0,0,4,1,Capitalism should fundamentally be replaced,Kapitalismus sollte grundlegend ersetzt werden,Капитализм должен быть полностью замещён другим строем,Kapitalismo devas esti fundamente anstataŭita,Kapitalizm powinien zostać zasadniczo zastąpiony,Il capitalismo dovrebbe essere sostituito,Капіталізм має бути повністю замінений іншою формою суспільства,자본주의는 근본적으로 대체되어야 한다
0,0,3,1,There should be a national healthcare service,Es sollte ein staatliches Gesundheitswesen geben,Должна существовать государственная система здравохранения,Devas esti nacia resaniga servo,Powinna istnieć państwowa służba zdrowia,Ci dovrebbe essere un sistema sanitario pubblico,Повинна існувати державна система медичного обслуговування,국가적인 의료 서비스가 있어야 한다
0,0,2,-1,Government owned industry is usually a bad idea,Staatseigene Industrie ist für gewöhnlich eine schlechte Idee,Государственные предприятия — это обычно плохая идея,"Industrio, posedata de la registaro, kutime estas malbona ideo",Przemysł będący własnością państwa jest zwykle złym pomysłem,Generalmente è una cattiva idea avere parti del settore industriale sotto controllo statale,Державне підприємство - це зазвичай погана ідея,국영 산업은 부적절한 생각이다
0,0,2,1,The government should run the healthcare insurance industry,Der Staat sollte das Krankenversicherungsgewerbe leiten,Системой медицинского страхования должно заведовать государство,La registaro devas mastri asekuradon de sano,Rząd powinien zarządzać branżą ubezpieczeń zdrowotnych,É lo stato che dovrebbe gestire le assicurazioni sanitarie,Медичним страхуванням має піклуватися держава,정부는 의료 보험을 운영해야 한다
0,0,2,1,Public utilities like roads and electricity should all be publicly owned,Öffentliche Versorgungsunternehmen wie Straßen und Strom sollten alle volkseigen sein,"Общественные объекты, такие как дороги и электростанции, должны находиться в общественной собственности","Publikaj utilaĵoj, kiel vojoj kaj elektrejoj, devas esti sub publika posedo","Obiekty użyteczności publicznej, takie jak drogi i prąd, powinny być własnością publiczną","Tutti i beni di pubblica utilità, come le strade e l'elettricità, dovrebbero essere di proprietà dello stato","Загальноважливі об'єкти, такі як дороги та електростанції, мають бути державною(суспільною) власністю",도로나 전기 같은 공공 시설은 모두 공공 소유가 되어야 한다
0,0,1,1,Capitalism has problems,Kapitalismus hat Probleme ,У капитализма есть проблемы,Kapitalismo havas problemojn,Kapitalizm ma problemy, Il capitalismo ha dei problemi,Капіталізм має недоліки,자본주의는 문제가 있다
0,0,1,1,Some industries such as the postal service should be government-run,"Manche Gewerbe, wie das Postgewerbe, sollten staatsgeführt sein","Некоторые предприятия, такие как почтовые службы, должны быть государственными","Iuj industrioj, kiel poŝtaj servoj, devas mastriĝi de la registaro","Niektóre branże, takie jak usługi pocztowe, powinny być zarządzane przez rząd","Alcune attività, come le poste, dovrebbero essere di proprietà statale","Деякими підприємствами, на зразок поштових служб, має керувати держава",우체국 같은 일부 산업은 정부가 운영해야 한다
0,1,1,-1,Regulation cannot fix all problems in the economy,Regulierung kann nicht alle wirtschaftlichen Probleme lösen,Регулирование экономики не решит всех её проблем,Regulado ne kapablos solvi ĉiujn problemojn de ekonomio,Regulacja nie może rozwiązać wszystkich problemów w gospodarce,La regolamentazione dell'economia non può risolverne tutti i problemi,Регуляції не можуть вирішити усіх проблем економіки,규제가 경제의 모든 문제를 해결할 수는 없다
0,1,4,1,Strictly regulated capitalism is the ideal economy,Strikt regulierter Kapitalismus ist die ideale Wirtschaftsform,Строго регулируемый капитализм — это идеальная идеология,Strikte regulata kapitalismo estas ideala ideologio,Ściśle regulowany kapitalizm jest idealną gospodarką,Un capitalismo fortemente regolamentato è il sistema economico ideale,Строго регульований капіталізм - це ідеальна ідеологія,엄격한 규제를 받는 자본주의가 이상적인 경제다
0,1,3,1,"For any economic problem, there is a regulation that can fix it","Für jedes wirtschaftliche Problem gibt es eine Regulierung, die es lösen kann","Любые экономические проблемы могут быть решены регулированием","Por ajna ekonomia problemo, estas reguligo, kiu povos solvi ĝin","W przypadku każdego problemu ekonomicznego istnieje przepis, który może to naprawić","Per ogni problema economico, esiste una regolamentazione che lo può risolvere","На кожну економічну проблему є регуляція, яка її вирішить",어떠한 경제적인 문제에 대해서도 그것을 고칠 수 있는 규정이 있다
0,1,3,1,Companies that sneakily break regulations and are caught should be disbanded,"Firmen, die heimlich Regeln brechen und dabei erwischt werden, sollten aufgelöst werden","Компании, застанные за обходом мер по регулированию, должны быть ликвидированы","Kompanioj, kiuj kaptiĝas je ruzaj rompoj de reguligoj, devas esti disigitaj","Firmy, które podstępnie łamią przepisy i zostają złapane, powinny zostać rozwiązane",Le aziende che vengono sorprese a violare delle norme dovrebbero essere smantellate,"Фірми, які обходять заборони й обмеження, мають бути ліквідовані",슬그머니 규제를 어기다 적발되는 기업은 해체해야 한다
0,1,2,1,The government must regulate the economy to protect the environment,"Der Staat muss die Wirtschaft regulieren, um die Umwelt zu schützen","Государство должно регулировать экономику ради защиты окружающей среды",La registaro devas reguli la ekonomion por protekti la ekologion,"Rząd musi regulować gospodarkę, aby chronić środowisko",Lo stato deve regolamentare l'economia per proteggere l'ambiente,"Держава повинна регулювати економіку, щоби зберегти навколишнє середовище",정부는 환경을 보호하기 위해 경제를 규제해야 한다
0,1,2,1,The government is needed to break up monopolies and ensure there is fair competition,Der Staat muss Monopole auflösen und einen gerechten Wettkampf sichern,"Государство необходимо, чтобы ликвидировать монополии и гарантировать честную конкуренцию",La registaro estas bezonata por rompado de monopolioj kaj garantio de honora konkurado,Rząd jest potrzebny do zerwania monopoli i zapewnienia uczciwej konkurencji,C'è bisogno del governo per smantellare i monopoli ed assicurarsi che il mercato rimanga competitivo,Держава потрібна для ліквідації монополій та забезпечення чесної конкуренції,정부는 독점을 끝내고 공정한 경쟁이 이루어지도록 해야 한다
0,1,3,-1,Government regulations rarely completely solve the problem they intended to fix,"Staatliche Regulierungen lösen selten wirklich das Problem, das sie beseitigen wollten","Государственное регулирование редко полностью решает проблемы, на которые нацелено","Registaraj reguligoj rare plene solvas la problemon, kiun ili intencas solvi","Przepisy rządowe rzadko całkowicie rozwiązują problemy, które chciały rozwiązać",Le regolamentazioni imposte dal governo raramente sono risolvono i problemi per i quali sono state imposte,"Державна регуляція рідко вирішує проблеми, з якими вона мусить боротися",정부의 규제가 고치려고 했던 문제를 완전히 해결하는 경우는 드물다
0,1,1,1,The economy should consist of private companies with some regulations to ensure fair competition,"Die Wirtschaft sollte aus privaten Unternehmen mit einigen Regulierungen bestehen, um gerechten Wettkampf zu sichern","Экономика должна состоять из частных компаний, регулируемых лишь для защиты честной конкуренции",La ekonomio konsistu el privataj kompanioj kun iom da reguligoj por honora konkurado,"Gospodarka powinna składać się z prywatnych firm z pewnymi przepisami, aby zapewnić uczciwą konkurencję","L'economia dovrebbe consistere di aziende private regolamentate, così da garantire competizione leale tra di esse","Економіка повинна складатися з приватних компаній та підприємств, обмежених лише певними регуляціями з метою підтримки чесної конкуренції",경제는 공정한 경쟁을 보장하기 위해 일부 규정된 민간기업으로 구성되어야 한다
0,1,1,1,Consumer protection laws to ensure products are safe are important,"Verbraucherschutzgesetze, die dafür sorgen, dass Produkte sicher sind, sind wichtig","Законы по защите прав потребителей, гарантирующие безопасность товаров, важны","Konsumantprotektaj leĝoj, kiuj garantias sendanĝerecon de produktoj, estas gravaj",Ważne są przepisy dotyczące ochrony konsumentów zapewniające bezpieczeństwo produktów,"Le leggi a tutela del consumatore, che si assicurano che un prodotto sia sicuro, sono importanti","Закони по захисту прав споживачів, які регулюють якість товару, є важливими",제품의 안전을 보장하기 위한 소비자 보호법이 중요하다
0,2,4,1,The government should not regulate the economy at all,Der Staat sollte die Wirtschaft gar nicht regulieren.,Государство вообще не должно регулировать экономику,La registaro devas entute ne reguli la ekonomion,Rząd w ogóle nie powinien regulować gospodarki,Lo stato non dovrebbe imporre regolamentazioni sull'economia,Держава взагалі не повинна регулювати економіку,정부는 절대로 경제를 규제하면 안된다
0,2,4,1,Everything that can be left to the free market should be,"Alles, was dem freien Markt überlassen werden kann, sollte es auch","На свободный рынок должны быть оставлены все задачи, которые он способен решить",Ĉio lasebla por libera merkato devas esti lasita por ĝi,"Wszystko, co można pozostawić wolnemu rynkowi, powinno być", Dovremmo lasciare di competenza al libero mercato tutto ciò che possiamo,"Усе, що може управлятися законами вільного ринку, має належати йому",자유시장에 맡겨질 수 있는 모든 것은 자유시장에 있어야 한다
